Study_Hours,Attendance,Assignments_Completed,Passed
7,50,8,0
4,60,4,0
8,77,0,1
5,74,9,1
7,99,9,1
3,72,0,0
7,80,1,1
8,79,5,1
5,91,8,1
4,84,7,0
8,56,4,0
8,65,0,0
3,75,6,0
6,97,4,1
5,98,5,1
2,51,6,0
8,50,2,0
6,97,9,1
2,61,2,0
5,54,4,0
1,86,5,0
6,81,8,1
9,58,4,0
1,90,0,0
3,84,3,0
7,68,4,0
4,97,9,0
9,65,9,0
3,52,4,0
5,69,6,0
3,73,3,0
7,82,0,1
5,73,4,1
9,60,6,0
7,98,9,1
2,57,9,0
4,85,5,0
9,87,4,1
2,89,3,0
9,69,1,0
5,84,3,1
2,97,9,0
4,74,9,0
7,84,2,1
8,74,9,1
3,78,0,0
1,67,7,0
4,95,4,0
2,67,3,0
8,51,7,0
4,84,6,0
2,65,1,0
6,90,0,1
6,85,3,1
4,82,7,0
6,53,1,0
2,82,2,0
2,63,0,0
4,70,0,0
8,97,2,1
7,69,4,0
9,57,2,0
8,56,0,0
5,52,0,0
2,66,7,0
5,82,9,1
8,97,1,1
9,61,2,0
9,71,1,1
1,71,2,0
9,95,6,1
7,79,0,1
9,87,9,1
8,87,7,1
1,94,9,0
8,57,9,0
8,76,9,1
3,76,1,0
1,83,2,0
8,70,8,1
3,79,6,0
3,82,3,0
1,77,9,0
5,96,4,1
7,82,1,1
9,54,7,0
7,97,3,1
9,68,8,0
8,53,4,0
2,84,8,0
1,98,3,0
7,66,9,0
7,93,4,1
8,77,8,1
5,79,7,1
3,78,2,0
8,95,0,1
6,55,2,0
3,84,3,0
1,90,1,0
3,86,0,0
5,73,6,1
3,78,7,0
1,98,6,0
5,95,4,1
7,80,0,1
7,84,6,1
9,82,6,1
3,70,8,0
7,81,2,1
1,72,8,0
4,82,0,0
4,52,0,0
5,67,3,0
7,74,8,1
7,91,5,1
4,80,2,0
7,52,0,0
3,89,3,0
6,95,8,1
2,73,2,0
9,99,8,1
5,81,6,1
6,96,3,1
4,71,2,0
7,72,9,1
9,51,4,0
7,76,4,1
1,91,2,0
1,51,8,0
9,75,3,1
9,66,4,0
4,89,3,0
9,82,4,1
3,58,6,0
7,92,8,1
6,97,6,1
8,88,4,1
9,78,9,1
5,91,9,1
1,75,6,0
3,84,9,0
8,99,4,1
6,74,2,1
8,73,6,1
9,62,1,0
4,56,8,0
1,85,9,0
1,94,9,0
4,69,0,0
7,50,5,0
2,57,6,0
3,95,7,0
1,65,9,0
5,63,8,0
1,61,1,0
8,72,9,1
1,64,1,0
1,77,4,0
2,83,4,0
2,51,5,0
6,81,2,1
7,72,7,1
5,71,0,1
1,74,5,0
1,71,3,0
3,71,0,0
2,98,6,0
5,91,8,1
6,55,3,0
7,64,3,0
4,92,5,0
7,86,2,1
8,82,5,1
1,57,6,0
6,93,9,1
8,93,9,1
5,54,2,0
4,88,6,0
2,53,2,0
6,55,1,0
6,94,9,1
1,81,3,0
9,79,7,1
6,96,8,1
3,84,6,0
4,89,0,0
4,65,2,0
3,62,8,0
3,99,0,0
3,91,8,0
4,79,7,0
7,68,0,0
4,66,5,0
9,68,4,0
1,77,5,0
8,75,9,1
7,86,4,1
2,75,5,0
8,72,4,1
